SwUFn ID	함수명	Prototype(발췌)	계층	현재 Related ID	SwFn 후보 (검증 후 택1)	비고	팀 확정
SwUFn_0221	u16s_CountUp_Guarded	static U16 u16s_CountUp_Guarded( U16 u16t_Value )	APP	SWCOM_02	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_25, SWFN_32, SWFN_33, SWFN_34, SWFN_05, SWFN_35, SWFN_36, SWFN_37, SWFN_39, SWFN_46, SWFN_01, SWFN_13	후보 18개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0222	u32s_Add_Guarded	static U32 u32s_Add_Guarded( U32 u32t_Lhs, U32 u32t_Rhs )	APP	SWCOM_02	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_25, SWFN_32, SWFN_33, SWFN_34, SWFN_05, SWFN_35, SWFN_36, SWFN_37, SWFN_39, SWFN_46, SWFN_01, SWFN_13	후보 18개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0223	u32s_Mul_Guarded	static U32 u32s_Mul_Guarded( U32 u32t_Lhs, U32 u32t_Rhs )	APP	SWCOM_02	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_25, SWFN_32, SWFN_33, SWFN_34, SWFN_05, SWFN_35, SWFN_36, SWFN_37, SWFN_39, SWFN_46, SWFN_01, SWFN_13	후보 18개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0220	u8s_CountUp_Guarded	static U8 u8s_CountUp_Guarded( U8 u8t_Value )	APP	SWCOM_02	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_25, SWFN_32, SWFN_33, SWFN_34, SWFN_05, SWFN_35, SWFN_36, SWFN_37, SWFN_39, SWFN_46, SWFN_01, SWFN_13	후보 18개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
SwUFn_0313	s_ApiIn_LinRx_ProcessHashCalc	static void s_ApiIn_LinRx_ProcessHashCalc(void)	APP	SWCOM_03	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_32, SWFN_40, SWFN_05, SWFN_01, SWFN_13	후보 12개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0312	s_ApiIn_LinRx_ProcessIgnDelay	static void s_ApiIn_LinRx_ProcessIgnDelay(void)	APP	SWCOM_03	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_12, SWFN_32, SWFN_40, SWFN_05, SWFN_01, SWFN_13	후보 12개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0421	s16s_ApiIn_InterpolateTemperature	static S16 s16s_ApiIn_InterpolateTemperature( U16 u16t_Data, U8 u8t_In	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0426	s_ApiIn_E2EProFileCheck	static void s_ApiIn_E2EProFileCheck( void )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0420	s_ApiIn_ProcessMonitorData	static void s_ApiIn_ProcessMonitorData( void )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요	
SwUFn_0433	u16s_ApiIn_AddU16_Guarded	static U16 u16s_ApiIn_AddU16_Guarded( U16 u16t_Lhs, U16 u16t_Rhs )	APP	SWCOM_04	SWFN_02, SWFN_03, SWFN_04, SWFN_06, SWFN_07, SWFN_08, SWFN_09, SWFN_12, SWFN_25, SWFN_32, SWFN_40, SWFN_05, SWFN_36, SWFN_37, SWFN_46, SWFN_01, SWFN_13	후보 17개 — 도구가 좁히지 못함(SwCom 요구 폭이 넓음). 설계 판단 필요 / 공용 — 여러 기능이 쓰므로 단일 SwFn 부적절 가능	
