SwFn ID	ASIL	연결 요구ID	설명(발췌)
SWFN_01	-	SWTR_0101, SWTR_0109, SWTR_0301, SWTR_0303	[Auto Close] SBCM으로부터 Close명령을 수신하고 Door Close 동작을 수행함. PDSM 은 Motor 구동 시 시작할 때와 종료할 때 PWM 가변제어를 하여 속도 프로파일에 맞…
SWFN_02	-	SWTR_0102	[Assist Close] SBCM으로부터 Close명령을 수신하고 Door Close 동작을 수행함.
SWFN_03	-	SWTR_0103	[Assist Open] SBCM으로부터 Open명령을 수신하고 Door Open 동작을 수행함.
SWFN_04	-	SWTR_0104	[Tip-To-Run] SBCM으로부터 Tip-to-Run명령을 수신하고 동작을 수행함. ※ 웨이모 요구사항 [HBPDSMV2-495] Tip-To-Run 기능 비활성
SWFN_05	-	SWTR_0105, SWTR_0109	[Door Stop] SBCM으로부터 Door Stop명령을 수신하고 동작을 수행함. ※ Door가 멈춤 상황에서는 경사도에 따라 Active Holdoing 수행 ※ 웨이모 & HMC 요구 사항 …
SWFN_06	-	SWTR_0201	[차량 기울기 Detection] PDSM SW는 차량 기울기에 따라Auto Stop, Full Close, Assist Open & Assist Close 동작 중에 보상 기능을 수행한다. ※ 경…
SWFN_07	-	SWTR_0202	[Anti-Pinch Detection] Door의 이동 중 Motor Speed의 급격한 감속 ( u8g_ApiIn_MotorCountSpeed < u16g_SysOptCtrl_Aintipinch…
SWFN_08	-	SWTR_0203	[Damping Detection] Door의 비정상적 Open/Close 방지 Motor Speed가 High Speed로 판단되면 도어의 이동 속도를 줄인다 도어가 멈춤 직후 자동 닫힘 기능을 …
SWFN_09	-	SWTR_0204	[Door 열림/닫힘각 송신] SBCM 으로부터 s16g_ApiIn_MotorPosition 정보를 리셋 한 후, 도어가Open 되면 Position Sensor의 Pulse를 Count 하여 Do…
SWFN_10	-	SWTR_0205	[차량 온도 조건에 따른 보상 기능] s16g_DoorPreCtrl_TempOffset_Open : Assist Open출력 보상 s16g_DoorPreCtrl_TempOffset_Close : A…
SWFN_12	-	SWTR_0302	Motor 최대 동작 시간 설정 PDSM은 Auto Close / Auto Open동작 중 동작 정지를 위한 조건, 예를 들어 Stop command 수신, Latch상태가 Full Closed가 …
SWFN_13	-	SWEI_03, SWTR_0401, SWTR_0402, SWTR_0403	[Buzzer Control] SBCM으로부터 Buzzer 동작 정보를 수신하여 Buzzer 울림 Mode 판단. Buzzer En/Disable 상태 및 울림 Mode에 따라 Buzzer Cont…
SWFN_14	-	SWTR_0501	Reprogramming 기능 수행 마스터 제어기로부터 session control 메세지가 수신되면, Boot session으로 system을 재부팅 하여, 새로운 펌웨어를 업데이트하고, 업데이트…
SWFN_25	-	SWTR_0601	[고장진단 및 SBCM 송신] PDSM은 Battery Level 이상, Motor 고장, Hall Sensor 고장 등의 다양한 고장 상황 및 Error 발생 상황에서 고장모드 발생 여부를 실시간…
SWFN_27	-	SWTR_0603	Close작동중 비정상적 이벤트에 의한 중단시 Parameter정보 저장
SWFN_28	-	SWTR_0604	Manual Assist 작동중 비정상적 이벤트에 의한 중단시 Parameter 정보 저장
SWFN_29	-	SWTR_0605	[동작 대기/구동 상태에서의 배터리 전압 이상 진단] 전원을 공급받아 정상적인 Power Range 인지 판단하며 Power Check Result를 동작 Mode 판단 및 Diagnostic Fu…
SWFN_30	-	SWTR_0606	[차속에 따른 도어 Open 방지] 차량 속도 조건에 따라 열림/닫힘 동작의 활성화 또는 비활성화를 선택한다.
SWFN_31	-	SWTR_0607	[도어의 비정상적 Open/Close 방지] 도어의 속도를 모니터 하여 u16g_ApiIn_MotorSpeed 가 u16s_DAMPING_DETECTION_SPEED를 이상인 속도로 구동될 경우 M…
SWFN_32	-	SWTR_0105	[도어의 Open 후 Hold] Door가 멈춘 뒤에 Active Holding Motor출력
SWFN_33	-	SWTSR_0101	[Encoder IC 전원이상 감지] Position Sensor IC에 입력되는 전원의 이상 유무 판단하는 기능 회로 변경으로 Position Sensor 회로에 입력되는 전원의 이상 유무 판단으…
SWFN_34	-	SWTSR_0101	[Encoder 회로전원 이상감지] Position Sensor 회로에 입력되는 전원의 이상 유무 판단
SWFN_35	-	SWEI_01, SWTSR_0104	[Battery Power Value 이상감지] Battery 입력 전원의 이상 유무 판단
SWFN_36	-	SWNTR_0408, SWTSR_0201	[Motor Current Value 유효성 판단]
SWFN_37	-	SWNTR_0408, SWTSR_0202	[Position Sensor Value 유효성 판단] ECU는 Motor 회전에 따라 Position Sensor에서 전송된 Pulse로 Motor의 Speed, Direction을 확인하여 다음…
SWFN_38	-	SWEI_02, SWNTR_0408, SWTSR_0203	[PWM Output Value 유효성 판단] ECU는 자동 닫힘 동작 중에 Motor PWM 제어 출력이상이 발생하면 Door 자동 동작을 즉시 멈춘다.
SWFN_39	-	SWNTR_0408, SWTSR_0204	[Motor Output Power Value 이상 판단]
SWFN_40	-	SWTSR_0207	[린 통신 이상 판단] 린 통신이상 판단(Sleep관련 내용은 있어도 이상판단은 없음) ECU Element의 통신 이상 판단은 다음과 같은 기준을 따른다. - Auto Close 동작 중 LIN …
SWFN_41	-	SWTSR_0208	[Anti-Pinch 로직 이상판단] Anti-Pinch 로직이 정상적으로 수행 중인지 판단한다.
SWFN_42	-	SWNTR_0401, SWNTR_0402, SWNTR_0407, SWTSR_0209	[MCU 레지스터 이상감지] MCU 이상을 판단
SWFN_43	-	SWTSR_0210	[Watchdog] Watchdog을 모니터링 하여 이상 발생 시 Micom Reset을 수행한다.
SWFN_44	-	SWTSR_0301	[Power Operation Stop(SwST_08) State 천이]
SWFN_45	-	SWTSR_0302	[Power Operation Disable(SwST_09) State 천이]
SWFN_46	-	SWTSR_0201, SWTSR_0212	[Motor monitoring] Motor Driver IC에서 Motor Signal, Motor Current, 온도센서 정보를 이용하여 Motor 이상 유무 판단 후 문제 발생시 Diagno…
SWFN_47	-	SWNTR_0103, SWNTR_0104, SWTR_0107	[Sleep / Wakeup] SBCM 으로부터 15초 동안 LIN 수신 불가. System Sleep component에서 Sleep Mode진입 LIN 통신 복귀, 도어 이동을 통한 역기전력 감…
SWFN_48	-	SWTR_0108	[Enable / Disable] SBCM으로부터 수신 받은 LIN_PDS_EnableCmd, LIN_PDS_ResetCmd에 따라서 PDSM은 Enable/Disable/Reset 기능을 수행한다…
SWFN_49	-	SWTR_0206	[Active Holding] 도어가 정지 상태에서 경사로 인해 도어가 흘러내리려는 경우, 도어가 흘러내리지 않도록 모터를 반대 방향으로 회전시켜 도어를 지탱하는 기능이다.
SWFN_50	-	SWNTR_0108	[인라인 모드] 생산 라인에 적용되는 인라인 모드 기능
SWFN_51	-	SWNTR_0401, SWNTR_0402, SWNTR_0406, SWNTR_0407, SWNTR_0408, SWTSR_0209	[Fail Safe 메커니즘] 시스템은 동작 중 발생할 수 있는 오류 상황을 검출하고 안전 상태로 전환하여 안전성을 확보
SWFN_52	-	SWTSR_0209	[시스템 Error Protection] 설명: RAM, ROM, 레지스터, EEPROM의 무결성을 주기적으로 검사하여 시스템 진단 기능을 수행한다.
SWFN_53	-	SWTSR_0209	[MCU 이상 감지(레지스터 미지원)] 설명: RAM, ROM, 레지스터, EEPROM의 무결성을 주기적으로 검사하여 시스템 진단 기능을 수행한다.
