SDS 함수	분류	소스 근거
g_syseepromctrl_writedata	DECL_COMMENT	정의 SysEepromCtrl_PDS.c / 선언 주석처리 SysEepromCtrl_PDS.c:1012
cpu_getresetsource	DECL_COMMENT_NO_IMPL	선언 주석처리 Cpu.c:19 / 정의 없음
g_lib_safewritequeue_init	DECL_COMMENT_NO_IMPL	선언 주석처리 Lib_SafeWriteQueue.c:212 / 정의 없음
g_lib_sha256_calculate	DECL_COMMENT_NO_IMPL	선언 주석처리 Lib_sha256.c:313 / 정의 없음
g_lib_sha256_fwhashcalculate	DECL_COMMENT_NO_IMPL	선언 주석처리 Lib_sha256_it.h:31 / 정의 없음
g_lib_sha256_getprogresscallback	DECL_COMMENT_NO_IMPL	선언 주석처리 Lib_sha256_it.h:107 / 정의 없음
g_lib_sha256_setprogresscallback	DECL_COMMENT_NO_IMPL	선언 주석처리 SysOs_Main.c:190 / 정의 없음
g_syseepromctrl_writerdbidata	DECL_COMMENT_NO_IMPL	선언 주석처리 SysEepromCtrl_it_PDS.h:252 / 정의 없음
pt5_motor_nfault_getval	DECL_COMMENT_NO_IMPL	선언 주석처리 PT5_MOTOR_NFAULT.c:38 / 정의 없음
s_antipinchflagcheck	DECL_COMMENT_NO_IMPL	선언 주석처리 Ap_DoorPreCtrl_PDS.c:374 / 정의 없음
u16s_motorshortbatta2_check	DECL_COMMENT_NO_IMPL	선언 주석처리 SysDiagCtrl_PDS.c:158 / 정의 없음
u8g_syseepromctrl_readrdbidata	DECL_COMMENT_NO_IMPL	선언 주석처리 SysEepromCtrl_it_PDS.h:259 / 정의 없음
g_ap_diagnostic	IMPL_ACTIVE	정의 Ap_DoorPreCtrl_PDS.c / 선언 Ap_DoorPreCtrl_PDS.c
l_ifc_init	IMPL_ACTIVE	정의 lin_common_api.c / 선언 SysOs_Main.c
l_sys_init	IMPL_ACTIVE	정의 lin_common_api.c / 선언 SysOs_Main.c
ld_send_message	IMPL_ACTIVE	정의 lin_commontl_api.c / 선언 Sys_UDS_LinComp_PDS.c
lin_lld_get_state	IMPL_ACTIVE	정의 lin.c / 선언 SysSleepCtrl_PDS.c
s_doorstate_iintialization	IMPL_ACTIVE	정의 Ap_DoorCtrl_PDS.c / 선언 Ap_DoorCtrl_PDS.c
buzzerpwm_setratio	NO_IMPL	소스에 정의 없음
ccr_reg	NO_IMPL	소스에 정의 없음
diageepromwrite	NO_IMPL	소스에 정의 없음
entrypoint	NO_IMPL	소스에 정의 없음
g_buzzerctrl_buzzeroperation	NO_IMPL	소스에 정의 없음
g_doorstate	NO_IMPL	소스에 정의 없음
g_doorstate_his	NO_IMPL	소스에 정의 없음
g_doorstate_his[]	NO_IMPL	소스에 정의 없음
g_lib_safewritequeue_clearqueue	NO_IMPL	소스에 정의 없음
g_lib_safewritequeue_getqueuecount	NO_IMPL	소스에 정의 없음
g_lib_safewritequeue_isempty	NO_IMPL	소스에 정의 없음
g_lib_safewritequeue_isfull	NO_IMPL	소스에 정의 없음
g_sys_error_his	NO_IMPL	소스에 정의 없음
glinreqdata	NO_IMPL	소스에 정의 없음
glinrespdata	NO_IMPL	소스에 정의 없음
inlinemodespeedchangeflageepromset	NO_IMPL	소스에 정의 없음
lastresetsource	NO_IMPL	소스에 정의 없음
lin_flag_handle_tbl[8]	NO_IMPL	소스에 정의 없음
lin_frame_flag_tbl[5]	NO_IMPL	소스에 정의 없음
lin_pframebuf[22]	NO_IMPL	소스에 정의 없음
lin_tl_rx_queue.tl_pdu	NO_IMPL	소스에 정의 없음
monitor_adc_hwendi	NO_IMPL	소스에 정의 없음
n/a	NO_IMPL	소스에 정의 없음
pe_low_level_init_1	NO_IMPL	소스에 정의 없음
pe_low_level_init_2	NO_IMPL	소스에 정의 없음
pp5_buzzer_pwm_disable	NO_IMPL	소스에 정의 없음
pp5_buzzer_pwm_enable	NO_IMPL	소스에 정의 없음
pp5_buzzer_pwm_init	NO_IMPL	소스에 정의 없음
pp5_buzzer_pwm_setratio16	NO_IMPL	소스에 정의 없음
pt4_motor_speed_cntrstate	NO_IMPL	소스에 정의 없음
pt4_motor_speed_oncapture	NO_IMPL	소스에 정의 없음
s16g_apiin_linrx_latacceleration	NO_IMPL	소스에 정의 없음
s16g_apiin_linrx_longacceleration	NO_IMPL	소스에 정의 없음
s16g_apiin_motorposition	NO_IMPL	소스에 정의 없음
s16g_apiin_motorspdratio	NO_IMPL	소스에 정의 없음
s16g_doorctrl_astoutputgainconst	NO_IMPL	소스에 정의 없음
s16g_doorctrl_eop	NO_IMPL	소스에 정의 없음
s16g_doorctrl_sop	NO_IMPL	소스에 정의 없음
s16g_doorctrl_stopposauto	NO_IMPL	소스에 정의 없음
s16g_doorprectrl_doorpitch	NO_IMPL	소스에 정의 없음
s16g_doorprectrl_doorroll	NO_IMPL	소스에 정의 없음
s16g_doorprectrl_slopelvl	NO_IMPL	소스에 정의 없음
s16g_drvin_motorpulsecount	NO_IMPL	소스에 정의 없음
s16g_drvin_motorspdratio	NO_IMPL	소스에 정의 없음
s16g_sysoptctrl_fullpos	NO_IMPL	소스에 정의 없음
s16g_sysoptctrl_overpos	NO_IMPL	소스에 정의 없음
s16g_sysoptctrl_pos15degpopup	NO_IMPL	소스에 정의 없음
s16g_sysoptctrl_pos25deg	NO_IMPL	소스에 정의 없음
s16g_sysoptctrl_pos50deg	NO_IMPL	소스에 정의 없음
s16g_sysoptctrl_pos5deg	NO_IMPL	소스에 정의 없음
s8g_doorctrl_downspdratio	NO_IMPL	소스에 정의 없음
s8g_doorctrl_slipchkspd	NO_IMPL	소스에 정의 없음
s8g_doorctrl_stopchkspd	NO_IMPL	소스에 정의 없음
s8g_doorprectrl_movposlvl	NO_IMPL	소스에 정의 없음
s8g_syseepromctrl_readdata_signed	NO_IMPL	소스에 정의 없음
s_ap_dampingdetect	NO_IMPL	소스에 정의 없음
s_ap_encoderfailurejudgment	NO_IMPL	소스에 정의 없음
s_assistdeactivation	NO_IMPL	소스에 정의 없음
s_assistdeactivation_closechk	NO_IMPL	소스에 정의 없음
s_assistdeactivation_openchk	NO_IMPL	소스에 정의 없음
s_doorstate_tiptorun_detection	NO_IMPL	소스에 정의 없음
s_drvout_motorpwmfreqctrl	NO_IMPL	소스에 정의 없음
s_lowbatteryaction	NO_IMPL	소스에 정의 없음
s_motorspdctrl_directioncheck	NO_IMPL	소스에 정의 없음
s_reboundprotection_overpos	NO_IMPL	소스에 정의 없음
s_syseepromctrl_loadparameters	NO_IMPL	소스에 정의 없음
s_systemhashcalculate( void	NO_IMPL	소스에 정의 없음
s_uds_lintx_rdbi_db_version	NO_IMPL	소스에 정의 없음
s_uds_lintx_rdbi_hw_version	NO_IMPL	소스에 정의 없음
s_uds_lintx_rdbi_partnumber	NO_IMPL	소스에 정의 없음
s_uds_lintx_rdbi_proddate	NO_IMPL	소스에 정의 없음
s_uds_lintx_rdbi_statuscheck	NO_IMPL	소스에 정의 없음
s_uds_lintx_rdbi_sw_version	NO_IMPL	소스에 정의 없음
s_uds_wdbi_sw_version	NO_IMPL	소스에 정의 없음
s_uds_wdbi_useroption	NO_IMPL	소스에 정의 없음
sci0_int	NO_IMPL	소스에 정의 없음
timchan2_isr	NO_IMPL	소스에 정의 없음
u16g_apiin_bandgap	NO_IMPL	소스에 정의 없음
u16g_apiin_buzzerlevel	NO_IMPL	소스에 정의 없음
u16g_apiin_hallsnsrlevel	NO_IMPL	소스에 정의 없음
u16g_apiin_linrx_vehiclespeed	NO_IMPL	소스에 정의 없음
u16g_apiin_motorcurrlvl	NO_IMPL	소스에 정의 없음
u16g_apiin_motorlevel_a1	NO_IMPL	소스에 정의 없음
u16g_apiin_motorlevel_a2	NO_IMPL	소스에 정의 없음
u16g_apiin_motorspeed	NO_IMPL	소스에 정의 없음
u16g_apiin_vcc	NO_IMPL	소스에 정의 없음
u16g_apiin_vsup	NO_IMPL	소스에 정의 없음
u16g_apiout_buzzerpwmduty	NO_IMPL	소스에 정의 없음
u16g_apiout_motorpwmduty	NO_IMPL	소스에 정의 없음
u16g_buzzerctrl_buzzerduty	NO_IMPL	소스에 정의 없음
u16g_doorctrl_autostopcnt	NO_IMPL	소스에 정의 없음
u16g_doorctrl_drmovgtm	NO_IMPL	소스에 정의 없음
u16g_drvin_bandgap	NO_IMPL	소스에 정의 없음
u16g_drvin_motor_a1_fb	NO_IMPL	소스에 정의 없음
u16g_drvin_motor_a2_fb	NO_IMPL	소스에 정의 없음
u16g_drvin_motor_c_fb	NO_IMPL	소스에 정의 없음
u16g_drvin_motorspdcnt_low	NO_IMPL	소스에 정의 없음
u16g_drvin_motorspeed	NO_IMPL	소스에 정의 없음
u16g_drvin_t1	NO_IMPL	소스에 정의 없음
u16g_drvin_v_buzz_mon	NO_IMPL	소스에 정의 없음
