SwUFn ID	함수명	현재 Related ID	계층(자동판정 — 휴리스틱이며 확정 아님, 오분류 발견 시 알려주십시오)	제외 사유
SwUFn_35129	CheckProgDependencies	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35130	ChkProgRespPending	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35163	ClearReprogActive	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3523	EepConstAddressToValue	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3538	EepEraseBoundaryPreciseSector	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3528	EepHasMgmtStatusError	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3527	EepIsCommandBusy	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3537	EepIsFullPreciseSector	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3530	EepLoadPhraseWord	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3522	EEPROM_ErasePreciseBlock	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3536	EepServicePreciseEraseCallback	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3532	EepSetupFCCOB	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3526	EepTryAddOffset	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3535	EepValidatePreciseEraseRange	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3524	EepValueToVolatileWordAddress	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3525	EepValueToWordAddress	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3508	EraseFlashSector	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3506	FTMRZ_Init	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3509	FTMRZ_Prog_Phrase	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1196	g_InlineModeEEPROMSet	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1173	g_SysEepromCtrl_SafeWrite_ProcessQueue	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3583	LinUdsInit	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35172	LinUdsToTp	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3566	MainInitReprogServices	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3570	MainProcessReprogCycle	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3568	MainStartReprogSession	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_3507	PFLASH_Send_Command	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1186	s_DiagEepromWrite_AssistFail	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1185	s_DiagEepromWrite_CloseFail	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1178	s_DiagEepromWrite_OpenFail	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1163	s_EepromReadVersionData	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1162	s_EepromSysInfoDataRead_All	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1189	s_SysEepromCtrl_AddU32_Guarded	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1192	s_SysEepromCtrl_CopyTunningTables	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1161	s_SysEepromCtrl_InitializeEepromData	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1191	s_SysEepromCtrl_MakeEepromAddr	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1194	s_SysEepromCtrl_ReadByte_AbsAddr	SWCOM_33	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1180	s_SysEepromCtrl_ResetControlAndOffsets	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1184	s_SysEepromCtrl_ResetDiagAndIndices	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1181	s_SysEepromCtrl_ResetGains	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1179	s_SysEepromCtrl_ResetInlineAndInfo	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1182	s_SysEepromCtrl_ResetSpeeds	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1159	s_SysEepromCtrl_ResetTables	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1183	s_SysEepromCtrl_ResetTempAndNewParams	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1160	s_SysEepromCtrl_ResetVariables	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1193	s_SysEepromCtrl_SafeWrite_EnqueueDispatch	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1170	s_SysEepromCtrl_SafeWrite_WriteCallback	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1190	s_SysEepromCtrl_ScaleU8ToU16	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1195	s_SysEepromCtrl_WriteByte_AbsAddr	SWCOM_33	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1174	s_SysEepromCtrl_WriteData_Direct	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_1175	s_SysEepromCtrl_WriteSystemFlag	SWCOM_11	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_33100	s_UDS_MakeEepromAddr	SWCOM_33	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_2108	SetupFCCOB	SWCOM_21	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35144	sf_BuildRequestDownloadResponse	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35137	sf_BuildRoutineControlResponse	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35146	sf_BuildTransferDataResponse	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35150	sf_CaptureCrc32Data	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35133	sf_ClearPreviousVersion	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35141	sf_CommitVerifiedAppVersion	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35162	sf_EraseApplicationArea	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35139	sf_EraseApplicationSectors	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35156	sf_ExecuteStandardSecureFlashVerification	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
SwUFn_35134	sf_GetEepromVersionState	SWCOM_35	BOOT_REPROG	부트로더·재프로그래밍(flash/EEPROM) — 앱 기능 설계(SwFn)의 대상이 아님
